dataset,metodo,n,m,nist,tiempo
muchos_nist,GAUSS,30,30,37,104.12
muchos_nist,LU,30,30,38,3.4215
muchos_nist,GAUSS,30,30,38,107.45
muchos_nist,LU,30,30,39,3.39781
muchos_nist,GAUSS,30,30,39,105.582
muchos_nist,LU,30,30,40,3.35932
muchos_nist,GAUSS,30,30,40,112.341
muchos_nist,LU,30,30,41,3.41386
muchos_nist,GAUSS,30,30,41,112.673
muchos_nist,LU,30,30,42,3.39717
muchos_nist,GAUSS,30,30,42,115.401
muchos_nist,LU,30,30,43,3.48285
muchos_nist,GAUSS,30,30,43,118.876
muchos_nist,LU,30,30,44,3.48849
muchos_nist,GAUSS,30,30,44,121.161
muchos_nist,LU,30,30,45,3.43751
muchos_nist,GAUSS,30,30,45,123.949
muchos_nist,LU,30,30,46,3.46708
muchos_nist,GAUSS,30,30,46,126.866
muchos_nist,LU,30,30,47,3.50398
muchos_nist,GAUSS,30,30,47,129.378
muchos_nist,LU,30,30,48,3.55426
muchos_nist,GAUSS,30,30,48,134.694
muchos_nist,LU,30,30,49,3.58197
muchos_nist,GAUSS,30,30,49,136.901
gauss-lu,LU,6,6,1,0.000386821
gauss-lu,GAUSS,6,6,1,0.00037866
gauss-lu,LU,8,8,1,0.00203579
gauss-lu,GAUSS,8,8,1,0.00175786
gauss-lu,LU,10,10,1,0.00643513
gauss-lu,GAUSS,10,10,1,0.00759186
gauss-lu,LU,12,12,1,0.0188385
gauss-lu,GAUSS,12,12,1,0.0173144
gauss-lu,LU,14,14,1,0.0326122
gauss-lu,GAUSS,14,14,1,0.0293061
gauss-lu,LU,16,16,1,0.0652058
gauss-lu,GAUSS,16,16,1,0.064849
gauss-lu,LU,18,18,1,0.157875
gauss-lu,GAUSS,18,18,1,0.130273
gauss-lu,LU,20,20,1,0.241162
gauss-lu,GAUSS,20,20,1,0.242781
gauss-lu,LU,22,22,1,0.422257
gauss-lu,GAUSS,22,22,1,0.419563
gauss-lu,LU,24,24,1,0.720804
gauss-lu,GAUSS,24,24,1,0.700197
gauss-lu,LU,26,26,1,1.13039
gauss-lu,GAUSS,26,26,1,1.1407
gauss-lu,LU,28,28,1,1.76487
gauss-lu,GAUSS,28,28,1,1.7653
gauss-lu,LU,30,30,1,2.6823
gauss-lu,GAUSS,30,30,1,2.70727
gauss-lu,LU,32,32,1,4.01334
gauss-lu,GAUSS,32,32,1,3.96434
gauss-lu,LU,34,34,1,5.69902
gauss-lu,GAUSS,34,34,1,5.76053
gauss-lu,LU,36,36,1,8.07899
gauss-lu,GAUSS,36,36,1,8.06237
gauss-lu,LU,38,38,1,11.1398
gauss-lu,GAUSS,38,38,1,11.2076
gauss-lu,LU,40,40,1,15.2414
gauss-lu,GAUSS,40,40,1,15.2079
gauss-lu,LU,42,42,1,20.3063
gauss-lu,GAUSS,42,42,1,20.3916
gauss-lu,LU,44,44,1,26.8013
gauss-lu,GAUSS,44,44,1,26.6398
gauss-lu,LU,46,46,1,35.2804
gauss-lu,GAUSS,46,46,1,34.9491
gauss-lu,LU,48,48,1,45.0104
gauss-lu,GAUSS,48,48,1,44.9542
gauss-lu,LU,50,50,1,56.5032
gauss-lu,GAUSS,50,50,1,57.4308
gauss-lu,LU,52,52,1,72.9317
gauss-lu,GAUSS,52,52,1,75.2656
gauss-lu,LU,54,54,1,91.0426
gauss-lu,GAUSS,54,54,1,91.2054
gauss-lu,LU,56,56,1,113.17
gauss-lu,GAUSS,56,56,1,111.577
gauss-lu,LU,58,58,1,137.524
gauss-lu,GAUSS,58,58,1,141.918
